CensusTract,Zip Code
37129010100,28401
37129010200,28401
37129010300,28403
37129010400,28403
37129010501,28403
37129010502,28403
37129010600,28401
37129010700,28412
37129010800,28401
37129010900,28401
37129011000,28401
37129011100,28401
37129011200,28401
37129011300,28402
37129011400,28401
37129011500,28429
37129011603,28429
37129011605,28405
37129011606,28411
37129011607,28411
37129011608,28411
37129011701,28403
37129011703,28403
37129011705,28411
37129011800,28480
37129011902,28403
37129011903,28405
37129011904,28405
37129012001,28409
37129012004,28409
37129012006,28403
37129012007,28412
37129012008,28412
37129012009,28412
37129012010,28409
37129012101,28412
37129012103,28412
37129012104,28412
37129012105,28412
37129012201,28428
37129012202,28428
37129012203,28449
37129012300,28404
37129980100,28401
